,date,claim,truth_rating,url,source,fact,explanation,keyword
395,2021-06-11T17:22:01Z,"Screenshots of text messages that emerged in June 2021 authentically documented Hunter Biden, who is white, calling his white lawyer the N-word.",Unproven,https://www.snopes.com/fact-check/hunter-biden-texts/,Snopes,,,election-ballots
396,2021-04-09T10:59:47Z,"On April 8, 2021, Fox News' show ""Tucker Carlson Tonight"" aired pornographic photographs from a laptop computer that belonged to Hunter Biden showing him with sex workers.",Unproven,https://www.snopes.com/fact-check/fox-hunter-biden-porn/,Snopes,,,election-ballots
397,2021-04-06T13:56:25Z,"In an interview broadcast on April 4, 2021, Hunter Biden, the son of U.S. President Joe Biden, said he mistook parmesan cheese for crack cocaine in the past and accidentally smoked the dairy product.",True,https://www.snopes.com/fact-check/hunter-biden-parmesan-cheese/,Snopes,,,election-ballots
398,2021-04-06T09:28:12Z,"In an interview broadcast on April 4, 2021, Hunter Biden, the son of U.S. President Joe Biden, said the controversial laptop allegedly containing evidence detailing his business dealings in Ukraine ""could"" belong to him.",True,https://www.snopes.com/fact-check/hunter-biden-laptop-could-be-his/,Snopes,,,election-ballots
399,2022-10-08T00:00:00Z,“President Trump and I lost an election in 2020 because of a rigged election.”,Pants on Fire,https://www.politifact.com/factchecks/2022/oct/10/jim-marchant/nevada-republican-echoes-trumps-pants-fire-about-r/,PolitiFact,,,election-ballots
400,2022-07-09T00:00:00Z,Ranked choice voting in Alaska is a “total rigged deal.”,Pants on Fire,https://www.politifact.com/factchecks/2022/jul/22/donald-trump/why-trump-wrong-call-alaskas-ranked-choice-voting-/,PolitiFact,,,election-ballots
401,2021-01-07T00:00:00Z,"“39% of Americans … 31% of independents ... 17% of Democrats believe the election was rigged.""",Mostly False,https://www.politifact.com/factchecks/2021/jan/06/ted-cruz/ted-cruzs-misleading-statement-people-who-believe-/,PolitiFact,,,election-ballots
402,2022-07-28T00:00:00Z,"No, pens provided by Arizona election officials aren’t part of a plot to rig state primary",False,https://www.politifact.com/factchecks/2022/aug/01/tweets/no-pens-provided-arizona-election-officials-arent-/,PolitiFact,,,election-ballots
403,2022-09-22T00:00:00Z,“I don’t care for mail-in voting. That’s why I go to the polls.”,Full Flop,https://www.politifact.com/factchecks/2022/oct/13/mark-finchem/republican-arizona-secretary-state-candidate-said-/,PolitiFact,,,election-ballots
404,2022-01-31T00:00:00Z,"“In Texas, because of the laws they passed, a 95-year-old World War II veteran is being denied the right to vote by mail because he can't produce a registration number he got back in the 1950s.”",Half True,https://www.politifact.com/factchecks/2022/feb/03/stacey-abrams/fact-checking-stacey-abrams-texas-mail-ballot-deni/,PolitiFact,,,election-ballots
405,2022-01-11T00:00:00Z,"“In the 2020 election, President Trump voted from behind the desk in the White House in Florida.”",Half True,https://www.politifact.com/factchecks/2022/jan/13/joe-biden/trump-has-spread-falsehoods-about-voting-mail-whil/,PolitiFact,,,election-ballots
406,2021-02-15T00:00:00Z,"“So California is requiring signature verification for Gavin Newsom’s recall, but didn’t require it for the mail in ballots.”",Pants on Fire,https://www.politifact.com/factchecks/2021/feb/16/kevin-sorbo/yes-california-requires-signature-verification-mai/,PolitiFact,,,election-ballots
407,2021-03-03T00:00:00Z,"The voting bill known as H.R. 1 ""would force states to adopt universal mail-in ballots.”",False,https://www.politifact.com/factchecks/2021/mar/04/mike-pence/mike-pence-wrong-hr-1-forces-states-shift-universa/,PolitiFact,,,election-ballots
408,2022-10-18T00:00:00Z,"""There’s danger involved in drop boxes. People need to think about it. Okay. Imagine someone decides ‘oh, there’s a drop box I’m just going to put some explosive and and blow it up and burn all of those ballots’ and now those votes don’t count at all.""",Ignores long safe record,https://www.politifact.com/article/2022/oct/19/marco-rubio-said-someone-could-blow-ballot-drop-bo/,PolitiFact,,,election-ballots
409,2022-10-24T00:00:00Z,"In Arizona, early voting would allow Kari Lake’s opponents to see how many votes they “need to fake to catch up and surpass.”",Pants on Fire,https://www.politifact.com/factchecks/2022/oct/25/instagram-posts/instagram-video-falsely-says-early-voting-would-al/,PolitiFact,,,election-ballots
410,2022-08-03T00:00:00Z,"""Send your postcards to 5 key states to decertify fraud” in the 2020 election.",Pants on Fire,https://www.politifact.com/factchecks/2022/aug/16/facebook-posts/no-sending-postcards-states-will-not-lead-decertif/,PolitiFact,,,election-ballots
411,2022-08-08T00:00:00Z,"“Pennsylvania sent out 1,823,148 mail-in ballots. They got back 2,589,242.”",False,https://www.politifact.com/factchecks/2022/aug/11/viral-image/no-pennsylvania-didnt-send-out-more-mail-ballots-w/,PolitiFact,,,election-ballots
412,2022-08-25T00:00:00Z,"“In Arizona, we have flood the zone with fake ballots.”",Pants on Fire,https://www.politifact.com/factchecks/2022/aug/30/mark-finchem/arizona-republican-secretary-state-candidate-wrong/,PolitiFact,,,election-ballots
